frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
396,66.4654,,12.3115,59.8170,,47.5055,10.15,1.08
397,66.5128,,12.4119,59.7371,,47.3252,8.92,1.17
398,66.5675,,25.5685,59.6513,,34.0828,10.63,0.96
399,66.6149,,23.9344,59.5852,,35.6508,10.54,1.14
400,66.6625,,12.7460,59.5233,,46.7773,11.22,1.28
401,66.7087,,,59.4655,,,10.46,1.04
402,66.7559,,,59.4097,,,11.49,1.12
403,66.8074,,,59.3543,,,11.99,1.18
404,66.8658,,13.6900,59.2857,,45.5957,16.09,1.17
405,66.9226,,,59.2194,,,13.00,0.78
406,66.9813,,,59.1429,,,12.96,1.25
407,67.0282,,,59.0888,,,8.73,1.31
408,67.0867,,,59.0229,,,12.55,1.35
409,67.1502,,,58.9430,,,19.88,1.15
410,67.2050,,,58.8852,,,16.15,1.02
411,67.2574,,,58.8263,,,14.47,1.23
412,67.3136,,,58.7627,,,12.93,1.07
413,67.3708,,11.2905,58.7025,,47.4121,15.24,1.14
414,67.4349,,,58.6180,,,19.47,1.08
415,67.4907,,,58.5663,,,14.61,1.31
416,67.5652,,11.5191,58.4777,,46.9586,14.76,1.07
417,67.6334,,,58.3971,,,18.47,1.56
418,67.6818,,,58.3401,,,13.26,1.40
419,67.7453,,,58.2681,,,15.85,1.10
420,67.8003,,,58.1996,,,8.66,1.01
421,67.8464,,,58.1465,,,8.22,1.09
422,67.9007,,,58.0836,,,8.47,1.10
423,67.9531,,,58.0194,,,10.05,1.18
424,68.0008,,,57.9665,,,10.82,1.10
425,68.0541,,,57.8973,,,11.17,1.03
426,68.1078,,,57.8369,,,14.38,1.17
427,68.1665,,,57.7526,,,11.35,1.06
428,68.2209,,12.5992,57.6597,,45.0605,17.49,2.39
429,68.2946,,,57.5415,,,18.15,1.79
430,68.3578,,,57.4640,,,15.40,1.13
431,68.4211,,,57.3465,,,21.04,0.90
432,68.4720,,12.8926,57.2781,,44.3854,14.25,1.07
433,68.5376,,,57.1825,,,18.48,1.75
434,68.5932,,,57.1231,,,10.94,0.94
435,68.6410,,,57.0721,,,10.95,2.49
436,68.7015,,,57.0072,,,10.54,1.14
437,68.7484,,,56.9620,,,8.22,1.04
438,68.8060,,,56.9048,,,13.45,1.09
439,68.8546,,,56.8550,,,13.78,1.01
440,68.9033,,,56.8063,,,12.55,1.02
441,68.9505,,,56.7599,,,11.08,1.03
442,69.0084,,,56.6988,,,11.64,1.11
443,69.0670,,11.6704,56.6270,,44.9567,11.78,1.18
444,69.1294,,42.7569,56.5471,,13.7902,15.24,1.01
445,69.1949,,,56.4517,,,18.98,1.83
446,69.2470,,,56.3764,,,14.32,0.98
447,69.3022,,,56.2962,,,18.87,1.20
448,69.3512,,,56.2359,,,12.12,1.22
449,69.4349,,,56.1218,,,20.85,1.58
450,69.4957,,,56.0303,,,16.68,1.24
451,69.5462,,,55.9723,,,10.18,1.00
452,69.6037,,,55.8961,,,14.43,1.15
453,69.6503,,,55.8382,,,10.52,1.14
454,69.6986,,,55.7768,,,9.39,0.97
455,69.7520,,,55.7029,,,10.97,1.15
456,69.8137,,,55.6176,,,17.50,2.24
457,69.8752,,12.8262,55.5075,,42.6813,17.64,2.17
458,69.9328,,,55.4249,,,10.09,1.36
459,69.9909,,,55.3232,,,8.76,1.28
460,70.0510,,,55.2248,,,14.55,0.98
461,70.1130,,,55.1129,,,21.11,1.24
462,70.1767,,,54.9986,,,22.59,0.97
463,70.2281,,,54.9335,,,12.47,2.21
464,70.2934,,,54.8374,,,14.60,1.08
465,70.3473,,,54.7647,,,17.73,1.42
466,70.4057,,,54.6986,,,18.97,1.72
467,70.4657,,,54.6351,,,11.47,0.89
468,70.5193,,,54.5756,,,11.58,0.80
469,70.5763,,,54.5195,,,12.39,0.99
470,70.6319,,,54.4427,,,10.08,1.87
